"","VB","PRP","0","0","0","0","0","0","0","0","0.0","0","0","1","0","0"
"VB","PRP","VBZ","0","0","0","0","0","0","0","0","0.0","0","0","0","1","0"
"PRP","VBZ","DT","0","0","0","0","0","0","0","0","0.0","0","1","0","0","0"
"VBZ","DT","NN","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"DT","NN","IN","8","0","0","8","42","1","2","7","0.0","5","0","0","0","0"
"NN","IN","WRB","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"IN","WRB","PRP","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"WRB","PRP","VBP","0","0","0","0","0","0","0","0","0.0","0","1","0","1","1"
"PRP","VBP","VBG","0","0","0","0","0","0","0","0","0.0","0","1","0","0","0"
"VBP","VBG","IN","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"VBG","IN","CD","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"IN","CD","NNS","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"CD","NNS","CD","6","0","3","3","12","0","6","4","0.0","2","0","0","0","0"
"NNS","CD","NNP","0","0","0","0","0","0","0","0","0.0","0","1","0","0","0"
"CD","NNP","NNP","4","0","11","7","4","1","4","5","0.0","1","0","0","1","0"
"NNP","NNP","NNP","0","4","0","4","-56","2","4","4","0.0","0","0","0","1","0"
"NNP","NNP","NNP","4","0","0","4","2","1","8","1","0.0","7","0","0","1","0"
"NNP","NNP","NNP","1","9","0","8","-40","0","0","0","1.0","0","1","1","0","0"
"NNP","NNP","CD","0","3","0","3","-66","0","10","0","0.0","10","0","0","1","1"
"NNP","CD","NNP","0","0","0","0","0","0","0","0","0.0","0","1","0","0","0"
"CD","NNP","JJ","4","1","5","1","-24","0","0","10","0.0","10","0","0","1","0"
"NNP","JJ","NN","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"JJ","NN","RB","9","0","0","9","36","4","3","3","0.0","1","0","0","0","0"
"NN","RB","JJ","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"RB","JJ","NN","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0"
"JJ","NN","CD","5","2","0","3","-2","2","0","8","0.0","6","0","0","0","0"
