"IS_ENTITY?","ID_SENT","ID_WORD","WORD/TERM","POS_UNI","POS","NER","COMPOUND","COMPOUND_SIZE","ID_TERM_TXT","ID_TERM_IMG","TOT_IMG","TOT_CV_LOC","TOT_CV_ORG","TOT_CV_PER","DIST_CV_I","PL_CV_I","CV_KLASS","TOT_RESULTS_TX","TOT_TX_LOC","TOT_TX_ORG","TOT_TX_PER","TOT_ERR_TRANS","DIST_TX_I","TX_KLASS","HORUS_KLASS","STANFORD_NER"
"-1","1","1","vasco da gama","","","","1","3","17142","17143","10","5","0","7","2","14","PER","10","6","12","32","0.0","20","PER","PER"
"-1","1","6","football team","","","","1","2","17144","17145","10","9","0","0","9","40","LOC","10","0","35","15","0.0","20","ORG","LOC"
"-1","1","9","rio de","","","","1","2","17146","17147","10","10","0","0","10","68","LOC","10","0","15","35","0.0","20","PER","LOC"
"-1","1","1","vasco","PROPN","NNP","O","0","0","17148","17149","10","8","0","6","2","46","LOC","10","2","21","27","0.0","6","PER","PER"
"-1","1","2","da","PROPN","NNP","O","0","0","4026","4027","10","3","0","1","2","-28","LOC","10","1","15","34","0.0","19","PER","PER"
"-1","1","3","gama","PROPN","NNP","O","0","0","17150","17151","10","5","1","6","1","-2","PER","10","0","34","16","0.0","18","ORG","PER"
"-1","1","4","is","VERB","VBZ","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-1","1","5","a","DET","DT","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-1","1","6","football","NOUN","NN","O","0","0","3582","3583","10","9","0","0","9","38","LOC","10","3","36","11","0.0","25","ORG","LOC"
"-1","1","7","team","NOUN","NN","O","0","0","3584","3585","10","0","7","0","7","-66","ORG","10","1","39","10","0.0","29","ORG","LOC"
"-1","1","8","from","ADP","IN","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-1","1","9","rio","PROPN","NNP","O","0","0","49","50","10","8","0","0","8","50","LOC","10","1","18","31","0.0","13","PER","LOC"
"-1","1","10","de","PROPN","NNP","O","0","0","1481","1482","10","3","2","0","1","-14","LOC","10","1","29","20","0.0","9","ORG","LOC"
"-1","1","11","janeiro","INTJ","UH","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
